Time,Source,Sequence
9.54538,6,39279
9.55348,6,40237
9.56139,7,23951
9.56967,7,37363
9.57777,7,38321
9.58586,7,39279
9.59396,7,40237
9.60205,8,23951
9.61015,8,37363
9.61825,8,38321
9.63444,8,39279
9.63444,8,40237
9.65063,9,23951
9.65063,9,37363
9.66682,9,38321
9.66682,9,39279
9.68301,9,40237
9.68301,10,23951
9.69921,10,37363
9.69921,10,38321
9.73159,10,39279
9.73159,10,40237
9.73159,5,23951
9.73159,11,23951
9.73969,11,37363
9.74778,11,38321
9.75588,11,39279
9.76397,11,40237
9.77207,12,23951
9.78017,12,37363
9.78826,12,38321
9.79636,12,39279
9.80445,12,40237
9.81255,1,50775
9.82065,1,51733
9.82874,1,52691
9.83684,1,53649
9.84493,1,54607
9.85303,1,55565
9.86113,1,56523
9.86922,1,57481
9.87732,6,23951
9.88541,1,58439
9.89351,1,59397
9.90161,2,39279
9.9097,2,40237
9.9178,3,35447
9.92589,3,57481
9.93399,3,58439
9.94209,3,59397
9.95018,4,39279
9.95828,4,40237
9.96637,4,41195
9.97389,7,23951
9.98257,4,42153
9.99066,4,43111
9.99876,4,44069
